Palabra clave de búsqueda
1 de abril de 2026 - 9 de abril de 2026
Palabra clave de búsqueda,Estado de las palabras clave de búsqueda,Motivos del estado de las palabras clave de búsqueda,Tipo de concordancia de palabra clave de búsqueda,Campaña,Grupo de anuncios,Código de moneda,CPC máximo de palabras clave,Clics,Impr.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.),Conversiones,Conv. post-impresión,Coste/conv.,Tasa de conv.,CPM medio
cuadernola escolar,No apto,no suele publicarse; grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
playstation,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_PlayStation,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ps4,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_PlayStation,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ps5,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_PlayStation,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
playstation 4,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_PlayStation,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
playstation 5,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_PlayStation,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
la casa del artesano,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Conquest_Arte,S_NB_Conquest_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
bastidores,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
oleo,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
acuarela,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
acrilico,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
caballete,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lapiz de dibujo,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
material para pintar,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tienda de dibujo,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tienda dibujo tecnico,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
marcadores de dibujo,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
fibras de dibujo,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
pincel de dibujo,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresoras,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Impresoras,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora hp,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Impresoras,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar impresora,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Impresoras,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
precio impresora,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Impresoras,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora epson,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Impresoras,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
laptop,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Notebooks,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tablets,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Notebooks,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebooks,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Notebooks,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebook hp,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Notebooks,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar notebook,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Notebooks,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebook lenovo,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Notebooks,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar computadora,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Notebooks,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebook huawei,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Notebooks,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
precio computadora,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Notebooks,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
precio notebook,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Notebooks,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
peluches,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
peekaboo,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mamaderas,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos educativos,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para bebes,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para niños,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
baberos,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
chupetes,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes bebes,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos para bebes,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
gimnasio bebe,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
avent mamaderas,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes educativos,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ositos de peluche,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguete para 1 año,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
regalo bebe 2 años,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mantas para bebes,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
caminador infantil,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
buggy para niños,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes didacticos,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
alfombra antigolpes,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
caminador para bebe,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
gimnasio para bebe,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
veladoras,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para niños de 2 a 3 años,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tetina avent,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mamadera suavinex,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
chupete avent,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
practicunas,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñecos de trapo,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mamaderas avent,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
memas avent,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cuna colecho,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para niños de 2 años,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes sensoriales,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
regalos para niños de 2 años,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
veladora infantil,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
avent uruguay,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
corrales cuna,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libro sensorial 1 año,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes steam,En pausa,en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
chupete bibs,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
philips avent uruguay,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
regalos montessori 3 años,En pausa,en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para niños chicos,En pausa,en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mordillos de bebe,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
kitchen infantil,En pausa,en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
autos para niños de 2 a 3 años,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
regalos para 1 año nena,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Primera infancia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
curso robotica,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
curso basico de robotica,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cursos de robotica gratis,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
programacion robotica,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taller de robotica,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
proyectos de robotica,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
talleres robotica,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cursos de robotica,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
academia de robotica,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
curso robotica gratis,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
curso programacion robotica,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taller de robotica para niños,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia de frase,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taller de programacion para niños,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia de frase,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
curso robotica online,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
robótica y programación,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taller de informatica para niños,No apto,grupo de anuncios retirado; campaña en pausa,Concordancia de frase,Search | Genérico (CONS),S_NB_Producto,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
papeleria,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libretas,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cartuchera,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cuaderno,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
articulos de papeleria,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila infantil,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
utiles escolares,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
articulos escolares,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochilas escolares,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila jansport,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila escolares,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
folios a4,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochilas para niños,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochilas de niña,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
agenda escolar,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
papeleria online,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila niña,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila sonic,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila stitch,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochilas con ruedas,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila de niños,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochilas infantiles,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cuadernos con espiral,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila cars con ruedas,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila carrito,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila carro,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila minecraft,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila niño,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
distribuidoras de papeleria,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
material de papeleria,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
utiles de oficina,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cuaderno cuadriculado,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cartucheras escolares,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cuaderno precio,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila de harry potter,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Escolares | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
